"","playerId","position","heightInches","weight","ageAtDraft","combine40yd","combineVert","combineBench","combineShuttle","combineBroad","combine3cone","round","pick"
"2180",20150233,"WR",72,199,23.6219178082192,4.54,37,17,4.11,120,7.04,7,233
"2182",20150032,"DT",74,320,21.2520547945205,5.05,29.5,26,4.59,98,7.84,1,32
"2183",20150244,"OG",80,355,22.0602739726027,5.29,23.5,20,4.78,97,8.23,7,244
"2184",20150168,"FB",72,240,23.2575342465753,4.74,33,25,4.34,115,7.2,5,168
"2185",20150080,"DB",72,200,20.5424657534247,4.51,40,17,4.07,121,7.05,3,80
"2186",20150212,"DE",75,255,22.4,4.79,34.5,27,4.25,114,7.17,6,212
"2187",20150063,"DE",75,260,21.8904109589041,4.79,38.5,19,4.05,118,7.08,2,63
"2188",20150184,"WR",70,195,23.3397260273973,4.51,33,10,4.26,113,6.97,6,184
"2189",20150110,"OL",77,309,23.4630136986301,5.14,32.5,22,4.54,111,7.68,4,110
"2190",20150087,"WR",73,212,22.0958904109589,4.43,41,23,4.06,131,6.98,3,87
"2194",20150076,"WR",75,205,22.5260273972603,4.35,45,18,4.3,139,7.06,3,76
"2195",20150096,"DT",76,300,23.4301369863014,4.86,29,29,4.37,110,7.23,3,96
"2199",20150105,"WR",69,177,21.8821917808219,4.56,37,10,4.32,115,7.17,4,105
"2200",20150050,"DB",71,193,21.3369863013699,4.38,41.5,12,4.14,129,6.94,2,50
"2203",20150126,"RB",69,217,22.2054794520548,4.61,34,17,4.18,116,7,4,126
"2204",20150253,"OLB",75,255,22.6465753424658,4.74,29.5,19,4.53,100,7.56,7,253
"2205",20150200,"DB",69,200,22.2821917808219,4.56,36.5,17,4.15,113,7.22,6,200
"2207",20150119,"OL",78,310,23.172602739726,5.31,32,17,4.77,101,7.84,4,119
"2208",20150029,"WR",70,185,22.3287671232877,4.33,37,13,4.11,122,6.7,1,29
"2209",20150164,"DB",71,187,21.0356164383562,4.5,33.5,9,4.26,115,7.2,5,164
"2210",20150114,"OL",76,308,23.1835616438356,5.25,29,28,4.75,99,7.99,4,114
"2211",20150035,"DE",75,280,21.2739726027397,4.84,32.5,32,4.55,120,7.44,2,35
"2213",20150153,"OLB",75,250,23.7205479452055,4.77,34,27,4.25,120,7.1,5,153
"2214",20150019,"OT",77,313,22.6986301369863,5.15,30.5,30,4.63,112,7.48,1,19
"2215",20150101,"DE",74,265,21.7178082191781,4.93,36.5,28,4.4,121,7.34,4,101
"2216",20150003,"DE",75,255,20.7534246575342,4.6,32.5,19,4.32,112,7.4,1,3
"2217",20150108,"FB",71,254,24.7780821917808,4.94,33.5,23,4.4,114,7.56,4,108
"2219",20150208,"C",74,306,23.613698630137,5.5,27,29,4.58,96,7.66,6,208
"2220",20150109,"S",74,220,22.9260273972603,4.55,37,22,4.27,120,7.21,4,109
"2221",20150243,"OL",78,300,24.1315068493151,5.04,33.5,24,4.56,113,7.72,7,243
"2222",20150134,"OL",76,310,23.0054794520548,5.2,29.5,31,4.58,113,7.56,4,134
"2223",20150056,"DB",69,176,21.827397260274,4.46,33.5,15,4.2,120,6.81,2,56
"2224",20150015,"RB",73,215,22.0602739726027,4.52,35,19,4.07,126,7.04,1,15
"2225",20150091,"OL",77,316,23.0739726027397,5.16,29.5,21,4.7,106,8,3,91
"2226",20150040,"WR",77,237,22.0630136986301,4.49,33.5,13,4.45,119,6.89,2,40
"2227",20150097,"OLB",76,265,22.9178082191781,4.81,37,24,4.38,117,7.24,3,97
"2229",20150224,"LB",73,237,23.0027397260274,4.6,35,26,4.36,117,7.15,7,224
"2231",20150107,"WR",70,192,23.3808219178082,4.56,36.5,11,4.21,114,6.63,4,107
"2233",20150152,"OL",76,330,23.3616438356164,5.19,29.5,26,4.62,102,7.51,5,152
"2234",20150057,"OL",80,328,22.9780821917808,5.46,28.5,16,4.87,96,8.28,2,57
"2236",20150140,"LB",72,230,22.9780821917808,4.59,33.5,19,4,120,6.68,5,140
