"","playerId","nameFull","position","heightInches","weight","ageAtDraft","combine40yd","combineVert","combineBench","combineShuttle","combineBroad","combine3cone","round","pick"
"104",20000048,"Jason Webster","DB",69,187,22.6164383561644,4.46,35.5,17,3.98,122,6.76,2,48
"105",20000203,"Damen Wheeler","DB",68,167,22.6301369863014,4.56,35,11,4.27,115,7.21,6,203
"106",20000061,"Bobbie Williams","OG",76,345,23.5698630136986,5.34,29,28,4.72,97,7.78,2,61
"107",20000139,"Brian Young","DT",74,298,22.786301369863,4.96,29.5,27,4.47,106,7.2,5,139
"108",20010192,"Dan Alexander","RB",72,257,23.1123287671233,4.48,34,15,4.16,115,7.34,6,192
"109",20010022,"Will Allen","DB",70,195,22.7260273972603,4.44,39.5,14,3.9,121,6.78,1,22
"111",20010141,"Billy Baber","TE",76,260,22.2739726027397,4.77,33,22,4.19,106,7.12,5,141
"112",20010018,"Jeff Backus","OT",77,305,23.5972602739726,5.29,27,25,4.67,99,8.27,1,18
"113",20010037,"Idrees Bashir","S",74,198,22.386301369863,4.55,40,22,4.2,126,7.14,2,37
"114",20010107,"Monty Beisel","DE",76,246,22.6849315068493,4.82,34.5,26,4.28,110,7.32,4,107
"115",20010039,"Kendrell Bell","LB",73,245,20.8164383561644,4.62,38.5,24,4.5,124,7.25,2,39
"116",20010210,"Harold Blackmon","S",71,216,22.9369863013699,4.47,37,17,4.28,121,7.03,7,210
"117",20010150,"Derrick Blaylock","RB",68,208,21.6767123287671,4.39,35.5,18,4.09,119,7.05,5,150
"119",20010034,"Kyle Vanden Bosch","DE",76,278,22.441095890411,4.66,36.5,26,4.08,119,6.82,2,34
"120",20010066,"Sean Brewer","TE",76,255,23.558904109589,4.75,36,14,4.18,117,7.37,3,66
"121",20010145,"Jerametrius Butler","DB",70,185,22.4109589041096,4.57,36,11,4.4,121,7.22,5,145
"122",20010244,"Robert Carswell","S",71,215,22.5013698630137,4.59,34,21,4.18,106,7.14,7,244
"123",20010055,"Quinton Caver","LB",76,241,22.6794520547945,4.66,37.5,23,4.25,118,7.66,2,55
"124",20010157,"Patrick Chukwurah","LB",73,250,22.1561643835616,4.75,40,24,4.21,119,7.34,5,157
"125",20010228,"Derek Combs","DB",72,185,22.158904109589,4.45,35,8,4.07,120,6.96,7,228
"126",20010174,"Jameel Cook","FB",70,237,22.213698630137,4.79,29.5,17,4.38,108,7.55,6,174
"127",20010184,"Chris Cooper","DT",77,285,24.1616438356164,4.96,35.5,24,4.21,114,7.12,6,184
"128",20010188,"Rick Crowell","LB",75,242,23.9342465753425,5,31.5,19,4.35,109,7.54,6,188
"129",20010035,"Alge Crumpler","TE",74,275,23.3424657534247,4.79,34,22,4.43,112,7.38,2,35
"130",20010221,"Ennis Davis","DT",76,302,23.4,5.1,27.5,23,4.87,99,7.98,7,221
"131",20010002,"Leonard Davis","OG",78,355,22.641095890411,5.32,28,33,5.18,105,8.2,1,2
"132",20010220,"Rick DeMulling","OG",76,304,23.7671232876712,5.29,31.5,32,4.6,108,7.62,7,220
"133",20010156,"Shawn Draper","OT",75,275,22.0602739726027,5.28,32,17,4.77,106,8.1,5,156
"134",20010082,"Heath Evans","FB",72,250,22.3232876712329,4.61,34.5,30,4.24,111,7.3,3,82
"135",20010205,"Dauntae Finger","TE",76,262,24.0602739726027,5.09,33.5,15,4.59,103,7.95,7,205
"136",20010219,"Kynan Forney","OG",75,302,22.6328767123288,5.29,27,23,4.7,97,8.56,7,219
"137",20010127,"Curtis Fuller","S",70,188,22.7561643835616,4.43,36,18,4.21,114,7.2,4,127
"138",20010099,"Roberto Garza","OG",74,310,22.0876712328767,5.01,32.5,37,4.53,114,7.71,4,99
"139",20010173,"Jason Glenn","LB",72,231,21.6849315068493,4.93,36,14,4.31,115,7.16,6,173
"140",20010088,"Morlon Greenwood","LB",72,241,22.7780821917808,4.61,33.5,21,4.08,112,7.62,3,88
"141",20010113,"Ben Hamilton","OG",77,290,23.6904109589041,5.29,33.5,17,4.62,106,7.62,4,113
"142",20010126,"Edgerton Hartwell","LB",73,240,22.9178082191781,4.86,36.5,18,4.56,114,7.64,4,126
"143",20010087,"Reggie Hayward","DE",77,275,22.1205479452055,4.9,41,21,4.43,127,7.43,3,87
"144",20010101,"Jamie Henderson","DB",74,202,22.3178082191781,4.48,40.5,10,4.12,125,6.9,4,101
"145",20010097,"Anthony Henry","DB",73,207,24.4794520547945,4.57,41,15,4.2,126,6.9,4,97
"147",20010202,"Renaldo Hill","S",71,205,22.4547945205479,4.59,35.5,10,4.18,116,7.07,7,202
"148",20010151,"Russ Hochstein","OG",76,300,23.5534246575342,5.43,26.5,16,4.69,95,7.85,5,151
"149",20010119,"Jabari Holloway","TE",74,260,22.3561643835616,4.94,38.5,20,4.4,113,7.14,4,119
"150",20010191,"Menson Holloway","DT",74,285,22.7917808219178,4.9,34.5,19,4.43,111,7.54,6,191
"151",20010179,"Rashad Holman","DB",71,191,23.2739726027397,4.58,42,6,3.85,129,7.09,6,179
"152",20010117,"John Howell","S",72,210,22.9972602739726,4.6,37,14,4.12,121,6.87,4,117
"153",20010017,"Steve Hutchinson","OG",77,313,23.4849315068493,5.14,33.5,31,4.74,106,7.82,1,17
"154",20010165,"Michael Jameson","DB",71,205,21.786301369863,4.48,34.5,9,4.2,118,7.13,6,165
"155",20010044,"Kris Jenkins","DT",76,360,21.7315068493151,5.18,31,33,4.4,108,7.85,2,44
"156",20010095,"Jonas Jennings","OT",75,328,23.4301369863014,5.27,29.5,31,4.93,102,8.08,3,95
"158",20010100,"Rudi Johnson","RB",70,225,21.5698630136986,4.57,37.5,24,4.22,119,7.32,4,100
"159",20010069,"Eric Kelly","DB",70,197,24.2794520547945,4.47,36,15,4.18,120,7.24,3,69
"160",20010230,"Ross Kolodziej","DT",75,289,22.9616438356164,4.87,34.5,25,4.36,111,7.32,7,230
"162",20010137,"Matt Lehr","C",74,304,22.0054794520548,5.28,31.5,28,4.44,111,7.59,5,137
"163",20010135,"Victor Leyva","OG",76,315,23.3561643835616,5.33,30,37,4.73,105,8,5,135
"164",20010233,"Marlon McCree","S",71,204,24.1123287671233,4.6,38,10,4.1,117,7.36,7,233
"165",20010079,"Kareem McKenzie","OT",78,330,21.9260273972603,5.28,33,20,4.8,104,7.87,3,79
"166",20010090,"Shad Meier","TE",76,255,22.8876712328767,4.84,34,20,4.15,113,7.14,3,90
"167",20010231,"Dwayne Missouri","DE",77,260,22.3424657534247,5.03,38,21,4.4,116,7.5,7,231
"168",20010200,"Leonard Myers","DB",70,198,22.3561643835616,4.57,37,13,4.16,120,7.21,6,200
"170",20010111,"Mathias Nkwenti","OT",75,300,22.9616438356164,5.57,35.5,29,4.18,113,7.66,4,111
"171",20010222,"Dennis Norman","C",77,313,21.2493150684931,5.16,35,25,4.72,107,8.08,7,222
"172",20010115,"Moran Norris","FB",73,250,22.8630136986301,4.68,31,37,4.5,114,7.56,4,115
"173",20010195,"Dan O'Leary","TE",75,248,23.6520547945205,5.02,32,16,4.31,113,7.4,6,195
"174",20010146,"Chukky Okobi","C",73,305,22.5232876712329,5.33,32.5,24,4.61,103,7.87,5,146
"175",20010217,"Tupe Peko","OG",76,305,22.6027397260274,5.36,28,18,4.56,92,8.1,7,217
"177",20010050,"Dominic Raiola","C",73,295,22.3232876712329,5.13,33,29,4.35,108,7.55,2,50
"180",20010227,"Mike Roberg","TE",76,258,23.6054794520548,4.75,34.5,16,4.4,117,7.28,7,227
"181",20010138,"Bernard Robertson","OG",75,310,21.8821917808219,5.24,30,19,4.58,106,8.06,5,138
"184",20010114,"Cedric Scott","DE",77,290,23.5205479452055,4.82,35.5,23,4.37,107,7.67,4,114
"185",20010132,"Elliot Silvers","OT",79,320,23.1835616438356,5.42,31.5,19,4.66,99,7.81,5,132
"186",20010110,"Brandon Spoon","LB",74,242,22.8109589041096,4.73,35.5,33,4.15,110,7.3,4,110
"187",20010102,"Matt Stewart","LB",75,239,21.6547945205479,4.75,37,23,4.2,117,7.08,4,102
"189",20010013,"Marcus Stroud","DT",78,310,22.8383561643836,5.13,30,21,4.72,110,8.07,1,13
"191",20010144,"Marques Sullivan","OT",77,325,23.2301369863014,5.31,30.5,28,4.8,98,8.36,5,144
"192",20010234,"Joe Tafoya","DE",76,258,22.6383561643836,4.88,33,28,4.4,111,7.65,7,234
"193",20010038,"Anthony Thomas","RB",74,221,23.4684931506849,4.62,32.5,20,4.44,115,7.48,2,38
"195",20010005,"LaDainian Tomlinson","RB",70,215,21.8438356164384,4.43,40.5,18,4.21,124,6.84,1,5
"197",20010014,"Kenyatta Walker","OT",77,302,22.2328767123288,5.18,31.5,24,4.6,109,7.7,1,14
"198",20010170,"Chad Ward","OG",76,320,24.2876712328767,5.2,32.5,26,4.9,99,7.98,6,170
"199",20010073,"Eric Westmoreland","LB",72,233,24.1287671232877,4.65,36.5,21,4.21,115,7.47,3,73
"202",20010086,"Brock Williams","DB",70,185,21.7095890410959,4.46,42.5,11,4.21,130,6.7,3,86
"203",20010211,"Louis Williams","C",76,291,22.0438356164384,5.44,28.5,25,4.67,103,7.86,7,211
"204",20010128,"Floyd Womack","OG",76,328,22.4465753424658,5.57,29.5,23,4.96,97,8.78,4,128
"205",20010130,"Shawn Worthen","DT",72,316,25.4027397260274,5.18,30,23,4.61,103,7.5,4,130
"206",20010183,"Ellis Wyms","DT",75,290,22.041095890411,4.97,28,21,4.47,103,7.71,6,183
"208",20020204,"Brian Allen","RB",69,205,22.013698630137,4.46,33,19,4.08,112,6.9,6,204
"209",20020082,"James Allen","LB",74,245,22.4547945205479,4.63,38,24,4.21,120,7.59,3,82
"211",20020178,"Matt Anderle","OG",78,327,22.7835616438356,5.55,29,26,4.8,101,7.99,6,178
"213",20020089,"Akin Ayodele","LB",74,245,22.6054794520548,4.86,35,26,4.12,119,7,3,89
"215",20020180,"Clenton Ballard","DT",75,308,23.0246575342466,5.24,26.5,24,4.64,90,7.47,6,180
"216",20020139,"Justin Bannan","DT",75,312,23.0219178082192,5.02,29,24,4.24,97,7.31,5,139
"218",20020136,"Jarrod Baxter","FB",73,243,23.1315068493151,4.74,32.5,23,4.27,111,7.1,5,136
"219",20020218,"Chad Beasley","DT",77,302,23.4493150684931,5.17,31.5,27,4.57,99,7.75,7,218
"220",20020115,"Tony Beckham","DB",73,195,23.5671232876712,4.37,34.5,15,4.3,121,7.12,4,115
"221",20020101,"Kevin Bentley","LB",72,248,22.3232876712329,4.72,39,23,3.83,113,6.71,4,101
"222",20020146,"Rocky Bernard","DT",75,301,23.0191780821918,4.96,33,30,4.41,108,7.43,5,146
"223",20020056,"Ladell Betts","RB",71,224,22.6630136986301,4.6,38,23,4.06,115,7.06,2,56
"224",20020120,"Terreal Bierria","DB",75,211,21.5397260273973,4.56,36,18,4.1,129,6.93,4,120
"226",20020133,"Rocky Boiman","LB",76,236,22.2520547945205,4.61,35,17,4.05,118,6.86,4,133
"228",20020238,"Raheem Brock","DE",76,274,23.8767123287671,4.93,34,25,4.23,109,7.09,7,238
"229",20020059,"Sheldon Brown","DB",70,200,23.1041095890411,4.46,36.5,15,4.24,118,7,2,59
"230",20020213,"Pete Campion","OG",76,307,22.3945205479452,5.25,25.5,30,4.81,86,7.96,7,213
"231",20020257,"Rock Cartwright","RB",68,215,22.3945205479452,4.48,35,30,4.25,113,7.18,7,257
"233",20020029,"Marc Colombo","OT",80,320,23.5479452054795,5.31,29.5,30,4.6,100,7.65,1,29
"234",20020127,"Kevin Curtis","DB",74,212,21.7424657534247,4.54,37.5,24,3.88,123,6.75,4,127
"235",20020096,"Dorsett Davis","DT",77,305,23.2520547945205,5.03,31,30,4.67,109,7.93,3,96
"238",20020061,"Ryan Denney","DE",79,264,24.8630136986301,4.86,33,36,4.25,107,7.18,2,61
"240",20020113,"Nate Dwyer","DT",75,316,23.5698630136986,5.1,31,27,4.41,103,7.56,4,113
"241",20020107,"Omar Easy","RB",74,245,24.4904109589041,4.51,40,21,4.12,122,7.25,4,107
"245",20020173,"Demarcus Faggins","DB",70,182,22.8684931506849,4.56,36.5,3,3.92,118,6.64,6,173
"248",20020039,"Toniu Fonoti","OG",76,340,20.4109589041096,5.53,28.5,32,4.81,94,8.12,2,39
"250",20020034,"DeShaun Foster","RB",72,222,22.2904109589041,4.57,35.5,20,4.16,119,6.82,2,34
"251",20020076,"Melvin Fowler","C",75,310,23.0712328767123,5.46,27,32,4.6,99,7.51,3,76
"252",20020043,"Eddie Freeman","DT",77,315,24.3068493150685,4.93,34.5,32,4.81,109,7.85,2,43
"253",20020143,"Scott Fujita","LB",77,250,22.9945205479452,4.63,42,20,4.21,122,7.09,5,143
"254",20020212,"LaVar Glover","DB",69,177,23.3561643835616,4.57,37,11,4.29,114,7.18,7,212
"255",20020025,"Charles Grant","DE",75,285,23.6438356164384,4.69,31,24,4.39,113,7.69,1,25
"256",20020240,"Carlos Hall","DE",76,259,23.2739726027397,4.68,40,20,4.19,125,6.97,7,240
"257",20020169,"Ryan Hannam","TE",74,255,22.1671232876712,4.7,30.5,18,4.21,110,7.07,5,169
"258",20020023,"Napoleon Harris","LB",75,253,23.1643835616438,4.57,34,27,4.44,110,7.15,1,23
"260",20020166,"Verron Haynes","RB",69,222,23.186301369863,4.78,31.5,25,4.08,117,7.27,5,166
"261",20020174,"Keith Heinrich","TE",78,255,23.1041095890411,4.75,35,21,4.1,119,6.87,6,174
"262",20020239,"Eric Heitmann","OG",75,312,22.1671232876712,5.25,28,33,4.6,94,7.56,7,239
"263",20020009,"John Henderson","DT",79,335,23.2931506849315,4.87,27.5,24,4.66,106,7.71,1,9
"264",20020241,"Leonard Henry","RB",73,210,24.3041095890411,4.61,35,26,4.29,105,7.11,7,241
"266",20020083,"Charles Hill","DT",74,293,21.4794520547945,5.08,33.5,23,4.36,111,7.37,3,83
"267",20020171,"Matt Hill","OT",78,304,23.4575342465753,5.35,28.5,20,4.54,98,7.58,5,171
"269",20020074,"Joseph Jefferson","S",73,202,22.1917808219178,4.37,39.5,8,4.01,117,6.84,3,74
"270",20020098,"Dennis Johnson","DE",77,276,22.3917808219178,4.84,35.5,17,4.36,113,7.21,3,98
"271",20020145,"Kyle Johnson","FB",72,242,23.3616438356164,4.68,34,22,4.35,112,7.4,5,145
"272",20020055,"Doug Jolley","TE",76,250,23.3123287671233,4.67,38,18,4.18,114,6.9,2,55
"273",20020155,"Terry Jones","TE",75,260,22.3945205479452,4.88,33.5,20,4.43,110,7.43,5,155
"275",20020242,"Brett Keisel","DE",77,285,23.6,4.93,33.5,26,4.51,106,7.28,7,242
"276",20020248,"Kyle Kosier","OT",77,305,23.4109589041096,5.09,29.5,24,4.49,107,7.34,7,248
"277",20020071,"Ben Leber","LB",75,245,23.3835616438356,4.62,32.5,20,4.25,114,6.75,3,71
"278",20020058,"Michael Lewis","S",73,222,21.9890410958904,4.56,36.5,16,4.14,121,6.96,2,58
"279",20020161,"Omare Lowe","S",73,195,24.0164383561644,4.54,35.5,12,3.97,115,6.65,5,161
"280",20020118,"Chris Luzar","TE",79,262,23.2,4.77,32.5,22,4.17,113,6.84,4,118
"281",20020188,"Wesly Mallard","LB",73,230,23.427397260274,4.52,41,22,4.07,118,6.81,6,188
"282",20020129,"Jamar Martin","FB",71,244,22.0356164383562,4.89,32,23,4.34,108,7.53,4,129
"285",20020057,"Jon McGraw","S",75,208,23.0657534246575,4.48,39.5,13,3.92,123,6.51,2,57
"286",20020090,"Seth McKinney","C",75,310,22.8712328767123,4.99,33.5,23,4.51,104,7.36,3,90
"287",20020114,"Randy McMichael","TE",75,248,22.827397260274,4.84,29.5,18,4.28,111,7.56,4,114
"289",20020150,"Mel Mitchell","S",73,225,23.2054794520548,4.59,35,15,4.15,126,7,5,150
"290",20020245,"Quincy Monk","LB",75,250,23.2356164383562,4.8,33.5,26,4.38,112,7.46,7,245
"291",20020224,"Derrius Monroe","DE",76,269,23.7643835616438,4.59,31.5,25,4.51,99,7.38,7,224
